u,v,L
-156.83006354586811,43.94089458467572,90
-149.75695533412943,74.03752871779619,90
-142.89207107677703,95.61583606029563,90
-136.00992216913446,110.34966753947982,90
-128.85762143530786,119.92189263530675,90
-121.17976922671747,125.76955970701306,90
-112.72632684369285,129.00283341157663,90
-103.2497293719267,130.42143858018105,90
-92.49651503707813,130.570320276459,90
-80.19665160286557,129.80149817364506,90
-66.05203439902331,128.32761316951354,90
-49.724602509730346,126.26303325429804,90
-30.824017070421117,123.65310767556731,90
-8.894666304432617,120.49378398459814,90
16.59823056677246,116.74399817832104,90
46.283518729549414,112.33290970847155,90
80.89986113495384,107.16360169784555,90
121.31183631168363,101.11447543617957,90
168.5253161994464,94.03929522728718,90
223.7002694252916,85.76669566742605,90
288.15804522405017,76.09994216304706,90
363.3787676329401,64.81782360585962,90
450.9827475002628,51.67773120338471,90
552.6879948735826,36.422197380368495,90
670.234450418962,18.79035416787061,90
805.2653155302514,-1.4642148170594993,90
959.1581834043137,-24.548115985545465,90
1132.8052340989905,-50.59515999598595,90
1326.3540106547496,-79.62747023416689,90
1538.9383004727292,-111.51511089714796,90
1768.449422629871,-145.94177798446592,90
2011.4144804373084,-182.38653612436076,90
2263.049101717946,-220.1317290938342,90
2517.528077527647,-258.3035753744156,90
2768.4668852332006,-295.9443964941559,90
3009.5436510781783,-332.1059113569653,90
3235.1403016547047,-365.94540893821414,90
3440.868629742468,-396.8046581494713,90
3623.8803123514335,-424.2564105401401,90
